school_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
ZHONGHUA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,SEPAK TAKRAW,na
ZHONGHUA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,na
ZHONGHUA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,VOLLEYBALL,na
ZHONGHUA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,MODULAR SPORTS,na
ZHONGHUA PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
ZHONGHUA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
ZHONGHUA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,DANCE - CHINESE,na
ZHONGHUA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,DANCE - INDIAN,na
ZHONGHUA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,DANCE - MALAY,na
ZHONGHUA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFT CLUB,na
ZHONGHUA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,GREEN CLUB,na
